,open,high,low,close
2003-01-31,7.4,7.47,6.9,7.18
2003-02-28,7.33,7.64,7.07,7.51
2003-03-31,7.32,7.51,7.07,7.07
2003-04-30,7.08,7.3,6.56,7.11
2003-05-31,7.18,9.44,7.18,8.98
2003-06-30,8.73,9.65,8.4,9.53
2003-07-31,9.55,10.77,9.55,10.54
2003-08-31,10.36,11.31,9.81,11.31
2003-09-30,11.43,11.55,10.22,10.36
2003-10-31,10.4,12.41,10.28,11.44
2003-11-30,11.57,11.57,10.14,10.45
2003-12-31,10.85,10.85,9.85,10.69
2004-01-31,10.64,12.1,10.64,11.28
2004-02-29,11.16,11.96,10.9,11.96
2004-03-31,12.01,13.96,11.9,13.52
2004-04-30,13.56,14.65,12.89,12.89
2004-05-31,13.03,14.26,13.03,14.03
2004-06-30,14.03,16.85,14.03,16.27
2004-07-31,16.15,16.47,14.57,16.17
2004-08-31,15.79,17.33,14.89,17.25
2004-09-30,17.93,19.38,17.6,19.38
2004-10-31,19.33,26.2,19.15,26.2
2004-11-30,26.23,34.22,26.23,33.53
2004-12-31,33.9,33.9,31.34,32.2
2005-01-31,31.65,38.45,31.65,38.45
2005-02-28,38.76,45.06,38.76,44.86
2005-03-31,44.5,44.5,39.35,41.67
2005-04-30,40.89,43.74,35.35,36.06
2005-05-31,36.43,40.74,34.13,39.76
2005-06-30,40.3,40.3,35.81,36.81
2005-07-31,36.5,44.0,36.5,42.65
2005-08-31,42.75,47.68,42.65,46.89
2005-09-30,46.26,53.84,46.22,53.61
2005-10-31,54.44,57.59,49.25,57.59
2005-11-30,57.5,69.66,57.5,67.82
2005-12-31,71.6,74.98,71.11,71.89
2006-01-31,74.75,85.59,72.03,75.51
2006-02-28,75.42,75.42,64.71,68.49
2006-03-31,69.1,69.61,58.71,62.72
2006-04-30,62.65,71.24,61.17,70.39
2006-05-31,69.6,71.89,59.77,59.77
2006-06-30,62.17,62.17,56.02,57.27
2006-07-31,57.95,67.96,50.67,67.96
2006-08-31,67.18,69.59,63.59,67.85
2006-09-30,68.38,77.61,68.38,76.98
2006-10-31,74.86,82.19,73.23,81.08
2006-11-30,79.16,91.81,78.29,91.66
2006-12-31,91.32,91.32,80.87,84.84
2007-01-31,83.8,97.1,83.8,85.73
2007-02-28,84.74,89.51,83.27,84.61
2007-03-31,87.06,95.85,85.41,92.91
2007-04-30,93.65,99.92,90.24,99.8
2007-05-31,99.47,121.19,99.47,121.19
2007-06-30,118.4,125.09,117.5,122.04
2007-07-31,121.26,146.0,121.26,131.76
2007-08-31,135.0,138.48,117.05,138.48
2007-09-30,144.16,154.5,131.77,153.47
2007-10-31,156.34,189.95,156.24,189.95
2007-11-30,187.44,191.79,153.76,182.22
2007-12-31,178.86,199.83,178.86,198.08
2008-01-31,194.84,194.93,130.01,135.36
2008-02-29,133.75,133.75,119.15,125.02
2008-03-31,121.73,145.06,119.69,143.5
2008-04-30,149.53,175.05,147.14,173.95
2008-05-31,180.0,189.96,177.05,188.75
2008-06-30,186.1,189.43,167.44,167.44
2008-07-31,174.68,179.55,154.4,158.95
2008-08-31,156.66,179.32,153.23,169.53
2008-09-30,166.19,166.96,105.26,113.66
2008-10-31,109.12,111.04,88.74,107.59
2008-11-30,106.96,110.99,80.49,92.67
2008-12-31,88.93,100.06,85.04,85.35
2009-01-31,90.75,94.58,78.2,90.13
2009-02-28,91.51,102.51,86.95,89.31
2009-03-31,87.94,109.87,83.11,105.12
2009-04-30,108.69,125.83,108.69,125.83
2009-05-31,127.24,135.81,119.49,135.81
2009-06-30,139.35,144.67,134.01,142.43
2009-07-31,142.83,163.39,135.4,163.39
2009-08-31,166.43,170.05,159.59,168.21
2009-09-30,165.3,186.15,165.18,185.35
2009-10-31,180.86,205.2,180.86,188.5
2009-11-30,189.31,207.0,188.75,199.91
2009-12-31,196.97,211.64,188.95,210.73
2010-01-31,214.01,215.04,192.06,192.06
2010-02-28,194.73,204.62,192.05,204.62
2010-03-31,208.99,235.85,208.85,235.0
2010-04-30,235.97,270.83,235.97,261.09
2010-05-31,266.35,266.35,235.86,256.88
2010-06-30,260.83,274.07,243.2,251.53
2010-07-31,248.48,264.08,245.58,257.25
2010-08-31,261.85,262.98,239.93,243.1
2010-09-30,250.33,292.32,250.33,283.75
2010-10-31,282.52,318.0,278.64,300.98
2010-11-30,304.18,318.62,300.5,311.15
2010-12-31,316.4,325.47,316.4,322.56
2011-01-31,329.57,348.48,326.72,339.32
2011-02-28,345.03,363.13,338.61,353.21
2011-03-31,349.31,360.0,330.01,348.51
2011-04-30,344.56,353.01,327.46,350.13
2011-05-31,346.28,349.57,332.19,347.83
2011-06-30,345.51,346.1,315.32,335.67
2011-07-31,343.26,403.41,343.26,390.48
2011-08-31,396.75,396.75,353.21,384.83
2011-09-30,381.03,413.45,374.05,381.32
2011-10-31,374.6,422.0,369.8,422.0
